req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 1, 1, 1
2, 0, 1, 1, 1, 2
3, 0, 0, 2, 1, 1
4, 0, 1, 0, 1, 2
5, 0, 2, 0, 1, 3
6, 0, 2, 1, 1, 3
7, 0, 1, 0, 2, 3
8, 0, 1, 0, 1, 2
9, 0, 1, 2, 2, 3
10, 0, 1, 0, 1, 2
11, 0, 1, 0, 2, 3
12, 0, 1, 0, 1, 2
13, 0, 3, 0, 1, 4
14, 0, 3, 1, 1, 4
15, 0, 4, 0, 18, 22
16, 0, 1, 0, 1, 2
17, 0, 3, 2, 143, 146
18, 0, 3, 1, 136, 139
19, 0, 22, 0, 137, 159
20, 0, 139, 1, 143, 282
21, 0, 159, 0, 137, 296
22, 0, 146, 2, 143, 289
23, 0, 289, 2, 143, 432
24, 0, 432, 2, 143, 575
25, 0, 575, 2, 1, 576
26, 0, 576, 2, 1, 577
27, 0, 577, 2, 16, 593
28, 0, 577, 2, 2, 579
29, 1, 593, 2, 1, 594
30, 1, 577, 2, 1, 578
31, 1, 594, 2, 1, 595
32, 1, 595, 2, 1, 596
33, 1, 596, 2, 1, 597
34, 1, 597, 2, 1, 598
35, 1, 577, 2, 26, 603
36, 1, 598, 2, 142, 740
37, 1, 740, 2, 84, 824
38, 1, 824, 2, 1, 825
39, 1, 4, 1, 1, 5
40, 1, 825, 2, 142, 967
41, 2, 967, 2, 14, 981
42, 2, 981, 2, 19, 1000
43, 2, 1000, 2, 13, 1013
44, 2, 1013, 2, 16, 1029
45, 2, 1029, 2, 11, 1040
46, 2, 577, 2, 18, 595
47, 2, 1040, 2, 14, 1054
48, 2, 1054, 2, 12, 1066
49, 2, 1066, 2, 11, 1077
50, 2, 1077, 2, 15, 1092
51, 2, 1092, 2, 13, 1105
52, 2, 2, 2, 17, 19
53, 2, 1105, 2, 13, 1118
54, 2, 1118, 2, 14, 1132
55, 2, 1132, 2, 14, 1146
56, 2, 1146, 2, 18, 1164
