req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 1, 0, 1, 2
3, 0, 2, 0, 1, 3
4, 0, 3, 0, 1, 4
5, 0, 4, 0, 1, 5
6, 0, 0, 1, 1, 1
7, 0, 1, 1, 2, 3
8, 0, 1, 1, 1, 2
9, 0, 0, 2, 2, 2
10, 0, 2, 2, 1, 3
11, 0, 5, 0, 2, 7
12, 0, 2, 1, 1, 3
13, 0, 1, 0, 1, 2
14, 0, 3, 2, 1, 4
15, 0, 3, 1, 18, 21
16, 0, 1, 0, 1, 2
17, 0, 4, 2, 143, 147
18, 0, 7, 0, 136, 143
19, 0, 21, 1, 137, 158
20, 0, 143, 0, 143, 286
21, 0, 147, 2, 137, 284
22, 0, 284, 2, 143, 427
23, 0, 427, 2, 143, 570
24, 0, 570, 2, 143, 713
25, 0, 713, 2, 1, 714
26, 0, 714, 2, 1, 715
27, 0, 715, 2, 16, 731
28, 0, 731, 2, 2, 733
29, 1, 733, 2, 1, 734
30, 1, 147, 2, 1, 148
31, 1, 734, 2, 1, 735
32, 1, 147, 2, 1, 148
33, 1, 147, 2, 1, 148
34, 1, 735, 2, 1, 736
35, 1, 736, 2, 26, 762
36, 1, 762, 2, 142, 904
37, 1, 904, 2, 84, 988
38, 1, 988, 2, 1, 989
39, 1, 147, 2, 1, 148
40, 1, 147, 2, 142, 289
41, 2, 989, 2, 14, 1003
42, 2, 1003, 2, 19, 1022
43, 2, 147, 2, 13, 160
44, 2, 147, 2, 16, 163
45, 2, 1022, 2, 11, 1033
46, 2, 1033, 2, 18, 1051
47, 2, 1051, 2, 14, 1065
48, 2, 1065, 2, 12, 1077
49, 2, 1077, 2, 11, 1088
50, 2, 1088, 2, 15, 1103
51, 2, 1103, 2, 13, 1116
52, 2, 1116, 2, 17, 1133
53, 2, 147, 2, 13, 160
54, 2, 1133, 2, 14, 1147
55, 2, 147, 2, 14, 161
56, 2, 1147, 2, 18, 1165
57, 2, 1165, 2, 12, 1177
58, 2, 1177, 2, 12, 1189
59, 2, 1189, 2, 17, 1206
60, 2, 1206, 2, 19, 1225
61, 2, 1225, 2, 13, 1238
62, 2, 1238, 2, 19, 1257
63, 2, 1257, 2, 10, 1267
64, 2, 1267, 2, 17, 1284
65, 2, 1284, 2, 19, 1303
66, 2, 1303, 2, 13, 1316
67, 2, 147, 2, 12, 159
68, 2, 1316, 2, 16, 1332
69, 2, 147, 2, 17, 164
70, 2, 1332, 2, 15, 1347
71, 2, 147, 2, 16, 163
72, 2, 1347, 2, 12, 1359
73, 2, 147, 2, 141, 288
74, 2, 1359, 2, 19, 1378
75, 2, 1378, 2, 15, 1393
76, 2, 1393, 2, 25, 1418
77, 2, 1418, 2, 25, 1443
78, 2, 1443, 2, 17, 1460
79, 2, 1460, 2, 122, 1582
80, 2, 147, 2, 141, 288
81, 2, 158, 1, 19, 177
