req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 2, 0, 1, 3
3, 0, 3, 0, 1, 4
4, 0, 0, 1, 1, 1
5, 0, 4, 0, 1, 5
6, 0, 0, 0, 1, 1
7, 0, 0, 2, 2, 2
8, 0, 0, 0, 1, 1
9, 0, 5, 0, 2, 7
10, 0, 1, 1, 1, 2
11, 0, 2, 1, 2, 4
12, 0, 7, 0, 1, 8
13, 0, 8, 0, 1, 9
14, 0, 2, 2, 1, 3
15, 0, 0, 2, 18, 18
16, 0, 4, 1, 1, 5
17, 0, 9, 0, 143, 152
18, 0, 5, 1, 136, 141
19, 0, 3, 2, 137, 140
20, 0, 140, 2, 143, 283
21, 0, 141, 1, 137, 278
22, 0, 152, 0, 143, 295
23, 0, 278, 1, 143, 421
24, 0, 421, 1, 143, 564
25, 0, 283, 2, 1, 284
26, 0, 295, 0, 1, 296
27, 0, 564, 1, 16, 580
28, 0, 0, 0, 2, 2
29, 1, 284, 2, 1, 285
30, 1, 1, 0, 1, 2
31, 1, 1, 0, 1, 2
32, 1, 296, 0, 1, 297
33, 1, 580, 1, 1, 581
34, 1, 581, 1, 1, 582
35, 1, 297, 0, 26, 323
36, 1, 582, 1, 142, 724
37, 1, 1, 0, 84, 85
38, 1, 1, 0, 1, 2
39, 1, 1, 0, 1, 2
40, 1, 285, 2, 142, 427
41, 2, 724, 1, 14, 738
42, 2, 2, 0, 19, 21
43, 2, 738, 1, 13, 751
44, 2, 323, 0, 16, 339
45, 2, 751, 1, 11, 762
46, 2, 762, 1, 18, 780
47, 2, 780, 1, 14, 794
48, 2, 2, 0, 12, 14
49, 2, 794, 1, 11, 805
50, 2, 805, 1, 15, 820
51, 2, 820, 1, 13, 833
52, 2, 833, 1, 17, 850
53, 2, 339, 0, 13, 352
54, 2, 850, 1, 14, 864
55, 2, 864, 1, 14, 878
56, 2, 352, 0, 18, 370
57, 2, 878, 1, 12, 890
58, 2, 2, 0, 12, 14
59, 2, 2, 0, 17, 19
60, 2, 890, 1, 19, 909
61, 2, 909, 1, 13, 922
62, 2, 2, 0, 19, 21
63, 2, 2, 0, 10, 12
64, 2, 922, 1, 17, 939
65, 2, 939, 1, 19, 958
66, 2, 958, 1, 13, 971
67, 2, 971, 1, 12, 983
68, 2, 983, 1, 16, 999
69, 2, 999, 1, 17, 1016
70, 2, 1016, 1, 15, 1031
71, 2, 1031, 1, 16, 1047
72, 2, 1047, 1, 12, 1059
73, 2, 370, 0, 141, 511
74, 2, 1059, 1, 19, 1078
75, 2, 1078, 1, 15, 1093
76, 2, 1093, 1, 25, 1118
77, 2, 1118, 1, 25, 1143
78, 2, 2, 0, 17, 19
79, 2, 1143, 1, 122, 1265
80, 2, 2, 2, 141, 143
81, 2, 1265, 1, 19, 1284
