req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 2, 0, 1, 3
3, 0, 0, 0, 1, 1
4, 0, 3, 0, 1, 4
5, 0, 4, 0, 1, 5
6, 0, 5, 0, 1, 6
7, 0, 0, 0, 2, 2
8, 0, 6, 0, 1, 7
9, 0, 0, 0, 2, 2
10, 0, 0, 0, 1, 1
11, 0, 0, 0, 2, 2
12, 0, 7, 0, 1, 8
13, 0, 0, 0, 1, 1
14, 0, 8, 0, 1, 9
15, 0, 0, 1, 18, 18
16, 0, 0, 2, 1, 1
17, 0, 9, 0, 143, 152
18, 0, 1, 2, 136, 137
19, 0, 18, 1, 137, 155
20, 0, 155, 1, 143, 298
21, 0, 18, 1, 137, 155
22, 0, 137, 2, 143, 280
23, 0, 298, 1, 143, 441
24, 0, 152, 0, 143, 295
25, 0, 280, 2, 1, 281
26, 0, 281, 2, 1, 282
27, 0, 282, 2, 16, 298
28, 0, 441, 1, 2, 443
29, 1, 443, 1, 1, 444
30, 1, 444, 1, 1, 445
31, 1, 445, 1, 1, 446
32, 1, 446, 1, 1, 447
33, 1, 1, 2, 1, 2
34, 1, 18, 1, 1, 19
35, 1, 447, 1, 26, 473
36, 1, 473, 1, 142, 615
37, 1, 615, 1, 84, 699
38, 1, 699, 1, 1, 700
39, 1, 18, 1, 1, 19
40, 1, 700, 1, 142, 842
41, 2, 18, 1, 14, 32
42, 2, 298, 2, 19, 317
43, 2, 317, 2, 13, 330
44, 2, 330, 2, 16, 346
45, 2, 346, 2, 11, 357
46, 2, 842, 1, 18, 860
47, 2, 860, 1, 14, 874
48, 2, 874, 1, 12, 886
49, 2, 886, 1, 11, 897
50, 2, 897, 1, 15, 912
51, 2, 912, 1, 13, 925
52, 2, 925, 1, 17, 942
53, 2, 942, 1, 13, 955
54, 2, 955, 1, 14, 969
55, 2, 2, 2, 14, 16
56, 2, 18, 1, 18, 36
57, 2, 969, 1, 12, 981
58, 2, 981, 1, 12, 993
59, 2, 993, 1, 17, 1010
60, 2, 2, 2, 19, 21
61, 2, 1010, 1, 13, 1023
62, 2, 2, 2, 19, 21
63, 2, 18, 1, 10, 28
64, 2, 1023, 1, 17, 1040
65, 2, 1040, 1, 19, 1059
66, 2, 1059, 1, 13, 1072
67, 2, 1072, 1, 12, 1084
68, 2, 2, 2, 16, 18
69, 2, 2, 2, 17, 19
70, 2, 1084, 1, 15, 1099
71, 2, 2, 2, 16, 18
72, 2, 1099, 1, 12, 1111
73, 2, 1111, 1, 141, 1252
74, 2, 1252, 1, 19, 1271
75, 2, 1271, 1, 15, 1286
76, 2, 18, 1, 25, 43
77, 2, 2, 2, 25, 27
78, 2, 18, 1, 17, 35
79, 2, 2, 2, 122, 124
80, 2, 1286, 1, 141, 1427
81, 2, 2, 2, 19, 21
