req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 1, 1, 1
2, 0, 0, 2, 1, 1
3, 0, 1, 0, 1, 2
4, 0, 1, 1, 1, 2
5, 0, 1, 2, 1, 2
6, 0, 1, 2, 1, 2
7, 0, 1, 2, 2, 3
8, 0, 3, 2, 1, 4
9, 0, 2, 2, 2, 4
10, 0, 4, 2, 1, 5
11, 0, 2, 0, 2, 4
12, 0, 2, 2, 1, 3
13, 0, 2, 2, 1, 3
14, 0, 2, 2, 1, 3
15, 0, 2, 1, 18, 20
16, 0, 2, 2, 1, 3
17, 0, 5, 2, 143, 148
18, 0, 4, 0, 136, 140
19, 0, 20, 1, 137, 157
20, 0, 157, 1, 143, 300
21, 0, 140, 0, 137, 277
22, 0, 2, 1, 143, 145
23, 0, 148, 2, 143, 291
24, 0, 140, 0, 143, 283
25, 0, 283, 0, 1, 284
26, 0, 284, 0, 1, 285
27, 0, 285, 0, 16, 301
28, 0, 300, 1, 2, 302
29, 1, 302, 1, 1, 303
30, 1, 301, 0, 1, 302
31, 1, 303, 1, 1, 304
32, 1, 302, 0, 1, 303
33, 1, 304, 1, 1, 305
34, 1, 303, 0, 1, 304
35, 1, 305, 1, 26, 331
36, 1, 304, 0, 142, 446
37, 1, 331, 1, 84, 415
38, 1, 291, 2, 1, 292
39, 1, 292, 2, 1, 293
40, 1, 293, 2, 142, 435
41, 2, 415, 1, 14, 429
42, 2, 429, 1, 19, 448
43, 2, 448, 1, 13, 461
44, 2, 2, 2, 16, 18
45, 2, 461, 1, 11, 472
46, 2, 472, 1, 18, 490
47, 2, 490, 1, 14, 504
48, 2, 2, 2, 12, 14
49, 2, 504, 1, 11, 515
50, 2, 140, 0, 15, 155
51, 2, 515, 1, 13, 528
52, 2, 446, 0, 17, 463
53, 2, 435, 2, 13, 448
54, 2, 463, 0, 14, 477
55, 2, 2, 2, 14, 16
56, 2, 140, 0, 18, 158
57, 2, 528, 1, 12, 540
58, 2, 477, 0, 12, 489
59, 2, 448, 2, 17, 465
60, 2, 540, 1, 19, 559
61, 2, 489, 0, 13, 502
62, 2, 559, 1, 19, 578
63, 2, 502, 0, 10, 512
64, 2, 465, 2, 17, 482
65, 2, 578, 1, 19, 597
