req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 2, 0, 1, 3
3, 0, 3, 0, 1, 4
4, 0, 0, 1, 1, 1
5, 0, 1, 1, 1, 2
6, 0, 1, 1, 1, 2
7, 0, 0, 2, 2, 2
8, 0, 4, 0, 1, 5
9, 0, 2, 1, 2, 4
10, 0, 2, 2, 1, 3
11, 0, 3, 2, 2, 5
12, 0, 5, 2, 1, 6
13, 0, 6, 2, 1, 7
14, 0, 5, 0, 1, 6
15, 0, 4, 1, 18, 22
16, 0, 1, 0, 1, 2
17, 0, 6, 0, 143, 149
18, 0, 7, 2, 136, 143
19, 0, 22, 1, 137, 159
20, 0, 143, 2, 143, 286
21, 0, 149, 0, 137, 286
22, 0, 286, 0, 143, 429
23, 0, 159, 1, 143, 302
24, 0, 429, 0, 143, 572
25, 0, 572, 0, 1, 573
26, 0, 573, 0, 1, 574
27, 0, 574, 0, 16, 590
28, 0, 22, 1, 2, 24
29, 1, 590, 0, 1, 591
30, 1, 591, 0, 1, 592
31, 1, 592, 0, 1, 593
32, 1, 22, 1, 1, 23
