req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 2, 0, 1, 3
3, 0, 3, 0, 1, 4
4, 0, 4, 0, 1, 5
5, 0, 0, 1, 1, 1
6, 0, 0, 0, 1, 1
7, 0, 0, 2, 2, 2
8, 0, 1, 1, 1, 2
9, 0, 0, 0, 2, 2
10, 0, 2, 2, 1, 3
11, 0, 0, 0, 2, 2
12, 0, 5, 0, 1, 6
13, 0, 6, 0, 1, 7
14, 0, 7, 0, 1, 8
15, 0, 2, 1, 18, 20
16, 0, 3, 2, 1, 4
17, 0, 4, 2, 143, 147
18, 0, 1, 0, 136, 137
19, 0, 20, 1, 137, 157
20, 0, 1, 0, 143, 144
21, 0, 147, 2, 137, 284
22, 0, 0, 0, 143, 143
23, 0, 143, 0, 143, 286
24, 0, 157, 1, 143, 300
25, 0, 1, 0, 1, 2
26, 0, 286, 0, 1, 287
27, 0, 287, 0, 16, 303
28, 0, 303, 0, 2, 305
29, 1, 20, 1, 1, 21
30, 1, 305, 0, 1, 306
31, 1, 1, 0, 1, 2
32, 1, 1, 0, 1, 2
33, 1, 306, 0, 1, 307
34, 1, 307, 0, 1, 308
35, 1, 1, 0, 26, 27
36, 1, 1, 0, 142, 143
37, 1, 308, 0, 84, 392
38, 1, 1, 0, 1, 2
39, 1, 284, 2, 1, 285
40, 1, 1, 0, 142, 143
41, 2, 285, 2, 14, 299
42, 2, 299, 2, 19, 318
43, 2, 318, 2, 13, 331
44, 2, 331, 2, 16, 347
45, 2, 2, 0, 11, 13
46, 2, 2, 0, 18, 20
47, 2, 347, 2, 14, 361
48, 2, 2, 0, 12, 14
49, 2, 361, 2, 11, 372
50, 2, 372, 2, 15, 387
51, 2, 387, 2, 13, 400
52, 2, 400, 2, 17, 417
53, 2, 417, 2, 13, 430
54, 2, 430, 2, 14, 444
55, 2, 2, 0, 14, 16
56, 2, 444, 2, 18, 462
57, 2, 462, 2, 12, 474
58, 2, 2, 0, 12, 14
59, 2, 474, 2, 17, 491
60, 2, 2, 0, 19, 21
61, 2, 2, 0, 13, 15
62, 2, 491, 2, 19, 510
63, 2, 2, 0, 10, 12
64, 2, 510, 2, 17, 527
65, 2, 527, 2, 19, 546
66, 2, 546, 2, 13, 559
67, 2, 559, 2, 12, 571
68, 2, 571, 2, 16, 587
69, 2, 2, 0, 17, 19
70, 2, 587, 2, 15, 602
71, 2, 602, 2, 16, 618
72, 2, 618, 2, 12, 630
73, 2, 2, 0, 141, 143
74, 2, 630, 2, 19, 649
75, 2, 649, 2, 15, 664
76, 2, 664, 2, 25, 689
77, 2, 689, 2, 25, 714
78, 2, 714, 2, 17, 731
79, 2, 731, 2, 122, 853
80, 2, 853, 2, 141, 994
81, 2, 392, 0, 19, 411
82, 2, 20, 1, 4, 24
