req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 2, 0, 1, 3
3, 0, 0, 0, 1, 1
4, 0, 3, 0, 1, 4
5, 0, 0, 1, 1, 1
6, 0, 1, 1, 1, 2
7, 0, 0, 2, 2, 2
8, 0, 2, 1, 1, 3
9, 0, 2, 2, 2, 4
10, 0, 0, 0, 1, 1
11, 0, 4, 2, 2, 6
12, 0, 6, 2, 1, 7
13, 0, 4, 0, 1, 5
14, 0, 0, 0, 1, 1
15, 0, 3, 1, 18, 21
16, 0, 7, 2, 1, 8
17, 0, 0, 0, 143, 143
18, 0, 2, 2, 136, 138
19, 0, 21, 1, 137, 158
20, 0, 2, 2, 143, 145
21, 0, 143, 0, 137, 280
22, 0, 2, 2, 143, 145
23, 0, 145, 2, 143, 288
24, 0, 158, 1, 143, 301
25, 0, 301, 1, 1, 302
26, 0, 302, 1, 1, 303
27, 0, 303, 1, 16, 319
28, 0, 319, 1, 2, 321
29, 1, 321, 1, 1, 322
30, 1, 1, 0, 1, 2
31, 1, 322, 1, 1, 323
32, 1, 323, 1, 1, 324
33, 1, 319, 1, 1, 320
34, 1, 324, 1, 1, 325
35, 1, 319, 1, 26, 345
36, 1, 325, 1, 142, 467
37, 1, 467, 1, 84, 551
38, 1, 1, 0, 1, 2
39, 1, 551, 1, 1, 552
40, 1, 552, 1, 142, 694
41, 2, 694, 1, 14, 708
42, 2, 708, 1, 19, 727
43, 2, 727, 1, 13, 740
