req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 0, 1, 1, 1
3, 0, 1, 1, 1, 2
4, 0, 0, 0, 1, 1
5, 0, 0, 0, 1, 1
6, 0, 0, 2, 1, 1
7, 0, 1, 2, 2, 3
8, 0, 2, 1, 1, 3
9, 0, 3, 1, 2, 5
10, 0, 3, 2, 1, 4
11, 0, 0, 0, 2, 2
12, 0, 2, 0, 1, 3
13, 0, 3, 0, 1, 4
14, 0, 5, 1, 1, 6
15, 0, 4, 2, 18, 22
16, 0, 6, 1, 1, 7
17, 0, 4, 0, 143, 147
18, 0, 7, 1, 136, 143
19, 0, 22, 2, 137, 159
20, 0, 147, 0, 143, 290
21, 0, 159, 2, 137, 296
22, 0, 0, 0, 143, 143
23, 0, 143, 1, 143, 286
24, 0, 290, 0, 143, 433
25, 0, 286, 1, 1, 287
26, 0, 0, 1, 1, 1
27, 0, 287, 1, 16, 303
28, 0, 303, 1, 2, 305
29, 1, 305, 1, 1, 306
30, 1, 2, 1, 1, 3
31, 1, 306, 1, 1, 307
32, 1, 307, 1, 1, 308
33, 1, 2, 1, 1, 3
34, 1, 2, 1, 1, 3
35, 1, 308, 1, 26, 334
36, 1, 2, 1, 142, 144
37, 1, 334, 1, 84, 418
38, 1, 296, 2, 1, 297
39, 1, 433, 0, 1, 434
40, 1, 2, 1, 142, 144
41, 2, 297, 2, 14, 311
42, 2, 311, 2, 19, 330
43, 2, 330, 2, 13, 343
44, 2, 343, 2, 16, 359
45, 2, 434, 0, 11, 445
46, 2, 359, 2, 18, 377
47, 2, 445, 0, 14, 459
48, 2, 459, 0, 12, 471
49, 2, 471, 0, 11, 482
50, 2, 482, 0, 15, 497
51, 2, 2, 1, 13, 15
52, 2, 497, 0, 17, 514
53, 2, 514, 0, 13, 527
54, 2, 527, 0, 14, 541
55, 2, 541, 0, 14, 555
56, 2, 377, 2, 18, 395
57, 2, 418, 1, 12, 430
58, 2, 430, 1, 12, 442
59, 2, 442, 1, 17, 459
60, 2, 395, 2, 19, 414
61, 2, 414, 2, 13, 427
62, 2, 459, 1, 19, 478
63, 2, 427, 2, 10, 437
64, 2, 2, 1, 17, 19
65, 2, 2, 1, 19, 21
66, 2, 2, 1, 13, 15
67, 2, 2, 1, 12, 14
68, 2, 555, 0, 16, 571
69, 2, 571, 0, 17, 588
70, 2, 588, 0, 15, 603
71, 2, 603, 0, 16, 619
72, 2, 478, 1, 12, 490
73, 2, 490, 1, 141, 631
74, 2, 2, 1, 19, 21
75, 2, 2, 1, 15, 17
76, 2, 437, 2, 25, 462
77, 2, 619, 0, 25, 644
78, 2, 2, 1, 17, 19
79, 2, 462, 2, 122, 584
80, 2, 644, 0, 141, 785
81, 2, 2, 1, 19, 21
82, 2, 631, 1, 4, 635
