req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 1, 1, 1
2, 0, 1, 1, 1, 2
3, 0, 2, 1, 1, 3
4, 0, 0, 2, 1, 1
5, 0, 0, 2, 1, 1
6, 0, 3, 1, 1, 4
7, 0, 1, 2, 2, 3
8, 0, 1, 0, 1, 2
9, 0, 1, 0, 2, 3
10, 0, 4, 1, 1, 5
11, 0, 3, 0, 2, 5
12, 0, 5, 0, 1, 6
13, 0, 3, 2, 1, 4
14, 0, 4, 2, 1, 5
15, 0, 5, 1, 18, 23
16, 0, 6, 0, 1, 7
17, 0, 5, 2, 143, 148
18, 0, 7, 0, 136, 143
19, 0, 23, 1, 137, 160
20, 0, 143, 0, 143, 286
21, 0, 148, 2, 137, 285
22, 0, 160, 1, 143, 303
23, 0, 285, 2, 143, 428
24, 0, 428, 2, 143, 571
25, 0, 571, 2, 1, 572
26, 0, 572, 2, 1, 573
