req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 0, 1, 1
2, 0, 1, 0, 1, 2
3, 0, 2, 0, 1, 3
4, 0, 3, 0, 1, 4
5, 0, 0, 1, 1, 1
6, 0, 0, 2, 1, 1
7, 0, 1, 2, 2, 3
8, 0, 0, 1, 1, 1
9, 0, 0, 1, 2, 2
10, 0, 4, 0, 1, 5
11, 0, 2, 1, 2, 4
12, 0, 3, 2, 1, 4
13, 0, 4, 1, 1, 5
14, 0, 4, 2, 1, 5
15, 0, 5, 2, 18, 23
16, 0, 5, 0, 1, 6
17, 0, 0, 1, 143, 143
18, 0, 5, 1, 136, 141
19, 0, 6, 0, 137, 143
20, 0, 1, 0, 143, 144
21, 0, 1, 0, 137, 138
22, 0, 23, 2, 143, 166
23, 0, 141, 1, 143, 284
24, 0, 143, 0, 143, 286
25, 0, 166, 2, 1, 167
26, 0, 0, 1, 1, 1
27, 0, 167, 2, 16, 183
28, 0, 1, 0, 2, 3
29, 1, 2, 1, 1, 3
