req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 2, 0, 1, 3
3, 0, 3, 0, 1, 4
4, 0, 4, 0, 1, 5
5, 0, 5, 0, 1, 6
6, 0, 6, 0, 1, 7
7, 0, 7, 0, 2, 9
8, 0, 0, 1, 1, 1
9, 0, 1, 1, 2, 3
10, 0, 0, 2, 1, 1
11, 0, 9, 0, 2, 11
12, 0, 3, 1, 1, 4
13, 0, 1, 2, 1, 2
14, 0, 0, 0, 1, 1
15, 0, 2, 2, 18, 20
16, 0, 20, 2, 1, 21
17, 0, 21, 2, 143, 164
18, 0, 4, 1, 136, 140
19, 0, 11, 0, 137, 148
20, 0, 140, 1, 143, 283
21, 0, 0, 1, 137, 137
22, 0, 148, 0, 143, 291
23, 0, 164, 2, 143, 307
24, 0, 291, 0, 143, 434
25, 0, 283, 1, 1, 284
26, 0, 284, 1, 1, 285
27, 0, 1, 1, 16, 17
28, 0, 0, 0, 2, 2
29, 1, 307, 2, 1, 308
30, 1, 285, 1, 1, 286
31, 1, 286, 1, 1, 287
32, 1, 1, 1, 1, 2
33, 1, 287, 1, 1, 288
34, 1, 288, 1, 1, 289
35, 1, 289, 1, 26, 315
36, 1, 1, 0, 142, 143
37, 1, 315, 1, 84, 399
38, 1, 399, 1, 1, 400
39, 1, 1, 1, 1, 2
40, 1, 400, 1, 142, 542
41, 2, 542, 1, 14, 556
42, 2, 556, 1, 19, 575
43, 2, 575, 1, 13, 588
44, 2, 2, 0, 16, 18
45, 2, 588, 1, 11, 599
46, 2, 599, 1, 18, 617
47, 2, 617, 1, 14, 631
48, 2, 2, 2, 12, 14
49, 2, 631, 1, 11, 642
50, 2, 642, 1, 15, 657
51, 2, 657, 1, 13, 670
52, 2, 2, 2, 17, 19
53, 2, 2, 2, 13, 15
54, 2, 670, 1, 14, 684
55, 2, 2, 2, 14, 16
56, 2, 684, 1, 18, 702
57, 2, 702, 1, 12, 714
58, 2, 714, 1, 12, 726
59, 2, 726, 1, 17, 743
60, 2, 743, 1, 19, 762
61, 2, 2, 2, 13, 15
62, 2, 762, 1, 19, 781
63, 2, 781, 1, 10, 791
64, 2, 791, 1, 17, 808
65, 2, 808, 1, 19, 827
66, 2, 827, 1, 13, 840
67, 2, 840, 1, 12, 852
68, 2, 2, 2, 16, 18
69, 2, 852, 1, 17, 869
