req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 2, 0, 1, 3
3, 0, 3, 0, 1, 4
4, 0, 0, 0, 1, 1
5, 0, 0, 1, 1, 1
6, 0, 0, 2, 1, 1
7, 0, 1, 1, 2, 3
8, 0, 1, 2, 1, 2
9, 0, 4, 0, 2, 6
10, 0, 2, 2, 1, 3
11, 0, 3, 1, 2, 5
12, 0, 3, 2, 1, 4
13, 0, 4, 2, 1, 5
14, 0, 6, 0, 1, 7
15, 0, 0, 1, 18, 18
16, 0, 5, 2, 1, 6
17, 0, 6, 2, 143, 149
18, 0, 5, 1, 136, 141
19, 0, 7, 0, 137, 144
20, 0, 144, 0, 143, 287
21, 0, 141, 1, 137, 278
22, 0, 149, 2, 143, 292
23, 0, 292, 2, 143, 435
24, 0, 278, 1, 143, 421
25, 0, 421, 1, 1, 422
26, 0, 287, 0, 1, 288
27, 0, 288, 0, 16, 304
28, 0, 304, 0, 2, 306
29, 1, 306, 0, 1, 307
30, 1, 307, 0, 1, 308
31, 1, 308, 0, 1, 309
32, 1, 309, 0, 1, 310
33, 1, 310, 0, 1, 311
34, 1, 311, 0, 1, 312
35, 1, 312, 0, 26, 338
