req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 12, 12, 0, 34, 46
1, 17, 17, 1, 44, 61
2, 26, 26, 2, 29, 55
3, 40, 46, 1, 34, 80
4, 61, 61, 2, 32, 93
5, 72, 72, 1, 25, 97
6, 81, 81, 0, 47, 128
7, 95, 95, 2, 34, 129
8, 106, 106, 0, 10, 116
9, 111, 111, 1, 11, 122
10, 118, 118, 0, 32, 150
11, 124, 124, 0, 25, 149
12, 130, 130, 0, 33, 163
13, 137, 137, 1, 46, 183
14, 148, 148, 2, 12, 160
15, 159, 159, 1, 46, 205
16, 174, 174, 2, 42, 216
17, 188, 188, 0, 50, 238
18, 202, 202, 1, 37, 239
19, 216, 216, 2, 38, 254
20, 227, 227, 0, 20, 247
21, 239, 239, 0, 13, 252
22, 247, 247, 0, 31, 278
23, 256, 256, 0, 40, 296
24, 261, 261, 1, 23, 284
25, 271, 271, 0, 35, 306
26, 285, 285, 1, 20, 305
27, 294, 294, 1, 43, 337
28, 304, 304, 1, 20, 324
29, 315, 315, 2, 34, 349
30, 328, 328, 2, 20, 348
31, 341, 341, 2, 20, 361
32, 354, 354, 1, 40, 394
33, 368, 368, 1, 18, 386
34, 378, 378, 2, 21, 399
35, 392, 392, 1, 36, 428
36, 399, 399, 0, 26, 425
37, 407, 407, 1, 13, 420
38, 422, 422, 2, 47, 469
39, 427, 427, 0, 39, 466
40, 440, 440, 2, 21, 461
41, 445, 445, 0, 30, 475
42, 451, 451, 2, 17, 468
43, 459, 459, 2, 33, 492
44, 465, 465, 1, 22, 487
45, 479, 479, 1, 19, 498
46, 484, 484, 2, 41, 525
47, 491, 491, 0, 34, 525
48, 504, 504, 2, 13, 517
49, 514, 514, 0, 33, 547
50, 521, 521, 2, 35, 556
51, 526, 526, 0, 10, 536
52, 539, 539, 2, 33, 572
53, 545, 545, 0, 48, 593
54, 559, 559, 1, 16, 575
55, 564, 564, 1, 15, 579
56, 577, 577, 1, 30, 607
57, 588, 588, 2, 20, 608
58, 593, 593, 2, 23, 616
59, 603, 603, 0, 20, 623
60, 613, 613, 2, 46, 659
61, 626, 626, 2, 20, 646
62, 641, 641, 2, 47, 688
63, 647, 647, 2, 21, 668
64, 659, 659, 2, 34, 693
65, 667, 667, 0, 50, 717
66, 672, 672, 2, 19, 691
67, 678, 678, 0, 21, 699
68, 688, 688, 0, 34, 722
69, 697, 697, 0, 10, 707
70, 702, 702, 0, 28, 730
71, 714, 714, 2, 36, 750
72, 722, 722, 2, 17, 739
73, 735, 735, 2, 12, 747
74, 744, 744, 2, 46, 790
75, 752, 752, 1, 31, 783
76, 767, 767, 1, 50, 817
77, 775, 775, 1, 21, 796
78, 782, 782, 1, 29, 811
79, 789, 789, 1, 18, 807
80, 801, 801, 1, 43, 844
81, 814, 814, 2, 19, 833
82, 829, 829, 2, 38, 867
83, 836, 836, 0, 49, 885
84, 845, 845, 0, 24, 869
85, 855, 855, 0, 21, 876
86, 861, 861, 0, 21, 882
87, 866, 866, 0, 45, 911
88, 873, 873, 2, 23, 896
89, 882, 882, 2, 29, 911
90, 891, 891, 0, 20, 911
91, 901, 901, 0, 35, 936
92, 914, 914, 1, 23, 937
93, 920, 920, 2, 38, 958
94, 931, 936, 2, 41, 977
95, 944, 944, 0, 24, 968
