req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 2, 0, 1, 3
3, 0, 3, 0, 1, 4
4, 0, 0, 1, 1, 1
5, 0, 1, 1, 1, 2
6, 0, 0, 2, 1, 1
7, 0, 4, 0, 2, 6
8, 0, 2, 1, 1, 3
9, 0, 1, 2, 2, 3
10, 0, 3, 1, 1, 4
11, 0, 1, 1, 2, 3
12, 0, 3, 2, 1, 4
13, 0, 4, 2, 1, 5
14, 0, 4, 1, 1, 5
15, 0, 5, 1, 18, 23
16, 0, 6, 0, 1, 7
17, 0, 5, 2, 143, 148
18, 0, 7, 0, 136, 143
19, 0, 23, 1, 137, 160
20, 0, 1, 2, 143, 144
21, 0, 143, 0, 137, 280
22, 0, 0, 2, 143, 143
23, 0, 148, 2, 143, 291
24, 0, 160, 1, 143, 303
25, 0, 1, 0, 1, 2
26, 0, 291, 2, 1, 292
27, 0, 292, 2, 16, 308
28, 0, 1, 1, 2, 3
29, 1, 308, 2, 1, 309
30, 1, 309, 2, 1, 310
31, 1, 310, 2, 1, 311
32, 1, 311, 2, 1, 312
33, 1, 312, 2, 1, 313
34, 1, 313, 2, 1, 314
35, 1, 314, 2, 26, 340
36, 1, 340, 2, 142, 482
37, 1, 1, 0, 84, 85
38, 1, 482, 2, 1, 483
39, 1, 483, 2, 1, 484
40, 1, 484, 2, 142, 626
41, 2, 626, 2, 14, 640
42, 2, 640, 2, 19, 659
43, 2, 2, 1, 13, 15
44, 2, 659, 2, 16, 675
45, 2, 675, 2, 11, 686
46, 2, 2, 0, 18, 20
47, 2, 2, 0, 14, 16
48, 2, 686, 2, 12, 698
49, 2, 2, 2, 11, 13
50, 2, 698, 2, 15, 713
51, 2, 713, 2, 13, 726
52, 2, 726, 2, 17, 743
53, 2, 2, 2, 13, 15
54, 2, 743, 2, 14, 757
55, 2, 757, 2, 14, 771
56, 2, 771, 2, 18, 789
57, 2, 789, 2, 12, 801
58, 2, 2, 2, 12, 14
59, 2, 801, 2, 17, 818
60, 2, 818, 2, 19, 837
61, 2, 837, 2, 13, 850
62, 2, 2, 2, 19, 21
63, 2, 850, 2, 10, 860
64, 2, 860, 2, 17, 877
65, 2, 877, 2, 19, 896
66, 2, 2, 2, 13, 15
67, 2, 896, 2, 12, 908
68, 2, 2, 0, 16, 18
69, 2, 908, 2, 17, 925
70, 2, 925, 2, 15, 940
71, 2, 940, 2, 16, 956
72, 2, 956, 2, 12, 968
73, 2, 968, 2, 141, 1109
74, 2, 2, 2, 19, 21
75, 2, 1109, 2, 15, 1124
76, 2, 1124, 2, 25, 1149
77, 2, 1149, 2, 25, 1174
78, 2, 1174, 2, 17, 1191
79, 2, 1191, 2, 122, 1313
80, 2, 1313, 2, 141, 1454
81, 2, 1454, 2, 19, 1473
