req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 1, 1, 1
2, 0, 0, 1, 1, 1
3, 0, 0, 2, 1, 1
4, 0, 1, 0, 1, 2
5, 0, 1, 1, 1, 2
6, 0, 1, 2, 1, 2
7, 0, 2, 0, 2, 4
8, 0, 2, 1, 1, 3
9, 0, 2, 2, 2, 4
10, 0, 3, 1, 1, 4
11, 0, 4, 0, 2, 6
12, 0, 4, 1, 1, 5
13, 0, 0, 1, 1, 1
14, 0, 4, 2, 1, 5
15, 0, 5, 1, 18, 23
16, 0, 5, 2, 1, 6
17, 0, 6, 0, 143, 149
18, 0, 0, 1, 136, 136
19, 0, 6, 2, 137, 143
20, 0, 0, 1, 143, 143
21, 0, 143, 2, 137, 280
22, 0, 0, 1, 143, 143
23, 0, 143, 1, 143, 286
24, 0, 149, 0, 143, 292
25, 0, 0, 1, 1, 1
26, 0, 280, 2, 1, 281
27, 0, 281, 2, 16, 297
28, 0, 286, 1, 2, 288
29, 1, 288, 1, 1, 289
30, 1, 289, 1, 1, 290
31, 1, 290, 1, 1, 291
32, 1, 291, 1, 1, 292
33, 1, 292, 0, 1, 293
34, 1, 292, 1, 1, 293
35, 1, 293, 0, 26, 319
36, 1, 1, 1, 142, 143
37, 1, 293, 1, 84, 377
38, 1, 297, 2, 1, 298
39, 1, 298, 2, 1, 299
40, 1, 299, 2, 142, 441
41, 2, 319, 0, 14, 333
42, 2, 333, 0, 19, 352
43, 2, 352, 0, 13, 365
44, 2, 365, 0, 16, 381
45, 2, 2, 1, 11, 13
46, 2, 377, 1, 18, 395
47, 2, 2, 1, 14, 16
48, 2, 381, 0, 12, 393
49, 2, 2, 1, 11, 13
50, 2, 2, 1, 15, 17
51, 2, 393, 0, 13, 406
52, 2, 2, 1, 17, 19
53, 2, 395, 1, 13, 408
54, 2, 2, 1, 14, 16
55, 2, 406, 0, 14, 420
56, 2, 408, 1, 18, 426
57, 2, 420, 0, 12, 432
58, 2, 426, 1, 12, 438
59, 2, 432, 0, 17, 449
60, 2, 438, 1, 19, 457
61, 2, 441, 2, 13, 454
62, 2, 449, 0, 19, 468
63, 2, 454, 2, 10, 464
64, 2, 457, 1, 17, 474
65, 2, 464, 2, 19, 483
