req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 1, 1, 1
2, 0, 0, 2, 1, 1
3, 0, 1, 0, 1, 2
4, 0, 1, 1, 1, 2
5, 0, 2, 1, 1, 3
6, 0, 2, 0, 1, 3
7, 0, 3, 0, 2, 5
8, 0, 3, 1, 1, 4
9, 0, 1, 2, 2, 3
10, 0, 3, 2, 1, 4
11, 0, 4, 1, 2, 6
12, 0, 2, 1, 1, 3
13, 0, 2, 1, 1, 3
14, 0, 4, 2, 1, 5
15, 0, 5, 0, 18, 23
16, 0, 2, 1, 1, 3
17, 0, 5, 2, 143, 148
18, 0, 0, 1, 136, 136
19, 0, 23, 0, 137, 160
20, 0, 136, 1, 143, 279
21, 0, 148, 2, 137, 285
22, 0, 160, 0, 143, 303
23, 0, 279, 1, 143, 422
24, 0, 0, 1, 143, 143
25, 0, 0, 1, 1, 1
26, 0, 2, 1, 1, 3
27, 0, 285, 2, 16, 301
28, 0, 301, 2, 2, 303
29, 1, 303, 0, 1, 304
30, 1, 1, 1, 1, 2
31, 1, 1, 1, 1, 2
32, 1, 1, 1, 1, 2
33, 1, 2, 1, 1, 3
34, 1, 303, 2, 1, 304
35, 1, 304, 0, 26, 330
36, 1, 304, 2, 142, 446
37, 1, 330, 0, 84, 414
38, 1, 414, 0, 1, 415
39, 1, 2, 1, 1, 3
40, 1, 2, 1, 142, 144
41, 2, 415, 0, 14, 429
42, 2, 422, 1, 19, 441
43, 2, 429, 0, 13, 442
44, 2, 441, 1, 16, 457
45, 2, 2, 1, 11, 13
46, 2, 2, 1, 18, 20
47, 2, 442, 0, 14, 456
48, 2, 2, 1, 12, 14
49, 2, 446, 2, 11, 457
50, 2, 456, 0, 15, 471
51, 2, 457, 1, 13, 470
52, 2, 457, 2, 17, 474
53, 2, 470, 1, 13, 483
54, 2, 471, 0, 14, 485
55, 2, 474, 2, 14, 488
56, 2, 483, 1, 18, 501
57, 2, 2, 1, 12, 14
58, 2, 485, 0, 12, 497
59, 2, 488, 2, 17, 505
60, 2, 2, 1, 19, 21
61, 2, 497, 0, 13, 510
62, 2, 501, 1, 19, 520
63, 2, 505, 2, 10, 515
64, 2, 510, 0, 17, 527
65, 2, 515, 2, 19, 534
