req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 2, 0, 1, 3
3, 0, 0, 1, 1, 1
4, 0, 0, 2, 1, 1
5, 0, 3, 0, 1, 4
6, 0, 1, 1, 1, 2
7, 0, 1, 2, 2, 3
8, 0, 4, 0, 1, 5
9, 0, 1, 2, 2, 3
10, 0, 5, 0, 1, 6
11, 0, 0, 0, 2, 2
12, 0, 2, 1, 1, 3
13, 0, 3, 1, 1, 4
14, 0, 3, 2, 1, 4
15, 0, 6, 0, 18, 24
16, 0, 4, 2, 1, 5
17, 0, 4, 1, 143, 147
18, 0, 5, 2, 136, 141
19, 0, 24, 0, 137, 161
20, 0, 141, 2, 143, 284
21, 0, 161, 0, 137, 298
22, 0, 147, 1, 143, 290
23, 0, 141, 2, 143, 284
24, 0, 290, 1, 143, 433
25, 0, 433, 1, 1, 434
26, 0, 434, 1, 1, 435
27, 0, 435, 1, 16, 451
28, 0, 451, 1, 2, 453
29, 1, 453, 1, 1, 454
