req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 1, 1, 1
2, 0, 1, 1, 1, 2
3, 0, 1, 0, 1, 2
4, 0, 1, 0, 1, 2
5, 0, 2, 0, 1, 3
6, 0, 0, 2, 1, 1
7, 0, 2, 1, 2, 4
8, 0, 1, 2, 1, 2
9, 0, 1, 0, 2, 3
10, 0, 1, 0, 1, 2
11, 0, 2, 2, 2, 4
12, 0, 1, 0, 1, 2
13, 0, 3, 0, 1, 4
14, 0, 4, 1, 1, 5
15, 0, 4, 0, 18, 22
16, 0, 4, 2, 1, 5
17, 0, 5, 2, 143, 148
18, 0, 22, 0, 136, 158
19, 0, 1, 0, 137, 138
20, 0, 5, 1, 143, 148
21, 0, 1, 0, 137, 138
22, 0, 148, 1, 143, 291
23, 0, 148, 2, 143, 291
24, 0, 158, 0, 143, 301
25, 0, 1, 0, 1, 2
26, 0, 291, 1, 1, 292
27, 0, 291, 2, 16, 307
28, 0, 292, 1, 2, 294
29, 1, 294, 1, 1, 295
30, 1, 307, 2, 1, 308
31, 1, 295, 1, 1, 296
32, 1, 308, 2, 1, 309
33, 1, 309, 2, 1, 310
34, 1, 310, 2, 1, 311
35, 1, 296, 1, 26, 322
36, 1, 1, 0, 142, 143
37, 1, 311, 2, 84, 395
38, 1, 322, 1, 1, 323
39, 1, 323, 1, 1, 324
40, 1, 148, 1, 142, 290
41, 2, 324, 1, 14, 338
42, 2, 3, 0, 19, 22
43, 2, 338, 1, 13, 351
44, 2, 351, 1, 16, 367
45, 2, 367, 1, 11, 378
46, 2, 3, 0, 18, 21
47, 2, 3, 0, 14, 17
48, 2, 378, 1, 12, 390
49, 2, 301, 0, 11, 312
50, 2, 312, 0, 15, 327
51, 2, 3, 0, 13, 16
52, 2, 327, 0, 17, 344
53, 2, 344, 0, 13, 357
54, 2, 357, 0, 14, 371
55, 2, 390, 1, 14, 404
56, 2, 3, 0, 18, 21
57, 2, 371, 0, 12, 383
58, 2, 383, 0, 12, 395
59, 2, 395, 2, 17, 412
60, 2, 412, 2, 19, 431
61, 2, 431, 2, 13, 444
62, 2, 404, 1, 19, 423
63, 2, 423, 1, 10, 433
64, 2, 433, 1, 17, 450
65, 2, 3, 0, 19, 22
66, 2, 450, 1, 13, 463
67, 2, 3, 0, 12, 15
68, 2, 444, 2, 16, 460
69, 2, 463, 1, 17, 480
70, 2, 3, 0, 15, 18
71, 2, 460, 2, 16, 476
72, 2, 476, 2, 12, 488
73, 2, 480, 1, 141, 621
74, 2, 3, 0, 19, 22
75, 2, 3, 0, 15, 18
76, 2, 488, 2, 25, 513
