req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 2, 0, 1, 3
3, 0, 3, 0, 1, 4
4, 0, 0, 1, 1, 1
5, 0, 0, 2, 1, 1
6, 0, 1, 1, 1, 2
7, 0, 0, 0, 2, 2
8, 0, 4, 0, 1, 5
9, 0, 1, 2, 2, 3
10, 0, 1, 1, 1, 2
11, 0, 2, 1, 2, 4
12, 0, 5, 0, 1, 6
13, 0, 4, 1, 1, 5
14, 0, 6, 0, 1, 7
15, 0, 3, 2, 18, 21
16, 0, 7, 0, 1, 8
17, 0, 5, 1, 143, 148
18, 0, 0, 0, 136, 136
19, 0, 21, 2, 137, 158
20, 0, 5, 1, 143, 148
21, 0, 136, 0, 137, 273
22, 0, 148, 1, 143, 291
23, 0, 291, 1, 143, 434
24, 0, 434, 1, 143, 577
25, 0, 577, 1, 1, 578
26, 0, 578, 1, 1, 579
27, 0, 579, 1, 16, 595
28, 0, 595, 1, 2, 597
29, 1, 597, 1, 1, 598
30, 1, 598, 1, 1, 599
31, 1, 1, 1, 1, 2
32, 1, 599, 1, 1, 600
33, 1, 600, 1, 1, 601
34, 1, 601, 1, 1, 602
35, 1, 273, 0, 26, 299
36, 1, 158, 2, 142, 300
37, 1, 602, 1, 84, 686
38, 1, 299, 0, 1, 300
39, 1, 686, 1, 1, 687
40, 1, 5, 1, 142, 147
41, 2, 687, 1, 14, 701
42, 2, 300, 2, 19, 319
43, 2, 701, 1, 13, 714
44, 2, 300, 0, 16, 316
45, 2, 714, 1, 11, 725
46, 2, 725, 1, 18, 743
47, 2, 5, 1, 14, 19
48, 2, 4, 1, 12, 16
49, 2, 4, 1, 11, 15
50, 2, 743, 1, 15, 758
51, 2, 316, 0, 13, 329
52, 2, 758, 1, 17, 775
53, 2, 4, 1, 13, 17
54, 2, 775, 1, 14, 789
55, 2, 789, 1, 14, 803
56, 2, 329, 0, 18, 347
57, 2, 4, 1, 12, 16
58, 2, 803, 1, 12, 815
59, 2, 347, 0, 17, 364
60, 2, 815, 1, 19, 834
61, 2, 4, 1, 13, 17
62, 2, 834, 1, 19, 853
63, 2, 853, 1, 10, 863
64, 2, 863, 1, 17, 880
65, 2, 880, 1, 19, 899
66, 2, 364, 0, 13, 377
67, 2, 899, 1, 12, 911
68, 2, 377, 0, 16, 393
69, 2, 393, 0, 17, 410
70, 2, 410, 0, 15, 425
71, 2, 425, 0, 16, 441
72, 2, 441, 0, 12, 453
73, 2, 911, 1, 141, 1052
74, 2, 1052, 1, 19, 1071
75, 2, 1071, 1, 15, 1086
76, 2, 5, 1, 25, 30
77, 2, 1086, 1, 25, 1111
78, 2, 4, 1, 17, 21
79, 2, 1111, 1, 122, 1233
80, 2, 1233, 1, 141, 1374
81, 2, 1374, 1, 19, 1393
