req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 0, 1, 1
2, 0, 1, 0, 1, 2
3, 0, 0, 0, 1, 1
4, 0, 2, 0, 1, 3
5, 0, 3, 0, 1, 4
6, 0, 0, 0, 1, 1
7, 0, 0, 1, 2, 2
8, 0, 0, 0, 1, 1
9, 0, 0, 2, 2, 2
10, 0, 0, 0, 1, 1
11, 0, 0, 0, 2, 2
12, 0, 4, 0, 1, 5
13, 0, 0, 0, 1, 1
14, 0, 2, 2, 1, 3
15, 0, 5, 0, 18, 23
16, 0, 23, 0, 1, 24
17, 0, 24, 0, 143, 167
18, 0, 0, 0, 136, 136
19, 0, 2, 1, 137, 139
20, 0, 3, 2, 143, 146
21, 0, 3, 2, 137, 140
22, 0, 146, 2, 143, 289
23, 0, 139, 1, 143, 282
24, 0, 167, 0, 143, 310
25, 0, 289, 2, 1, 290
26, 0, 290, 2, 1, 291
27, 0, 289, 2, 16, 305
28, 0, 291, 2, 2, 293
29, 1, 305, 2, 1, 306
30, 1, 306, 2, 1, 307
31, 1, 307, 2, 1, 308
32, 1, 289, 2, 1, 290
33, 1, 308, 2, 1, 309
34, 1, 1, 0, 1, 2
35, 1, 289, 2, 26, 315
36, 1, 282, 1, 142, 424
37, 1, 315, 2, 84, 399
38, 1, 310, 0, 1, 311
39, 1, 311, 0, 1, 312
40, 1, 312, 0, 142, 454
41, 2, 454, 0, 14, 468
42, 2, 468, 0, 19, 487
43, 2, 487, 0, 13, 500
44, 2, 500, 0, 16, 516
45, 2, 516, 0, 11, 527
46, 2, 527, 0, 18, 545
47, 2, 545, 0, 14, 559
48, 2, 559, 0, 12, 571
49, 2, 571, 0, 11, 582
50, 2, 582, 0, 15, 597
51, 2, 597, 0, 13, 610
52, 2, 610, 0, 17, 627
53, 2, 627, 0, 13, 640
54, 2, 640, 0, 14, 654
55, 2, 654, 0, 14, 668
56, 2, 2, 0, 18, 20
57, 2, 668, 0, 12, 680
58, 2, 680, 0, 12, 692
59, 2, 692, 0, 17, 709
60, 2, 709, 0, 19, 728
61, 2, 2, 0, 13, 15
62, 2, 728, 0, 19, 747
63, 2, 747, 0, 10, 757
64, 2, 757, 0, 17, 774
65, 2, 774, 0, 19, 793
66, 2, 793, 0, 13, 806
67, 2, 2, 0, 12, 14
68, 2, 806, 0, 16, 822
69, 2, 2, 0, 17, 19
