req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 0, 1, 1, 1
3, 0, 0, 2, 1, 1
4, 0, 1, 1, 1, 2
5, 0, 0, 0, 1, 1
6, 0, 1, 2, 1, 2
7, 0, 2, 0, 2, 4
8, 0, 2, 2, 1, 3
9, 0, 2, 1, 2, 4
10, 0, 4, 1, 1, 5
11, 0, 3, 2, 2, 5
12, 0, 1, 1, 1, 2
13, 0, 4, 0, 1, 5
14, 0, 5, 1, 1, 6
15, 0, 0, 2, 18, 18
16, 0, 5, 2, 1, 6
17, 0, 5, 0, 143, 148
18, 0, 6, 1, 136, 142
19, 0, 6, 2, 137, 143
20, 0, 1, 1, 143, 144
21, 0, 143, 2, 137, 280
22, 0, 148, 0, 143, 291
23, 0, 280, 2, 143, 423
24, 0, 142, 1, 143, 285
25, 0, 0, 0, 1, 1
26, 0, 285, 1, 1, 286
27, 0, 1, 1, 16, 17
28, 0, 18, 2, 2, 20
29, 1, 286, 1, 1, 287
30, 1, 1, 1, 1, 2
31, 1, 287, 1, 1, 288
32, 1, 1, 1, 1, 2
33, 1, 288, 1, 1, 289
34, 1, 289, 1, 1, 290
35, 1, 290, 1, 26, 316
36, 1, 316, 1, 142, 458
37, 1, 423, 2, 84, 507
38, 1, 458, 1, 1, 459
39, 1, 459, 1, 1, 460
40, 1, 460, 1, 142, 602
41, 2, 2, 1, 14, 16
42, 2, 507, 2, 19, 526
43, 2, 526, 2, 13, 539
44, 2, 539, 2, 16, 555
45, 2, 555, 2, 11, 566
46, 2, 6, 2, 18, 24
47, 2, 18, 2, 14, 32
48, 2, 6, 2, 12, 18
49, 2, 566, 2, 11, 577
50, 2, 577, 2, 15, 592
51, 2, 592, 2, 13, 605
52, 2, 605, 2, 17, 622
53, 2, 18, 2, 13, 31
54, 2, 6, 2, 14, 20
55, 2, 622, 2, 14, 636
56, 2, 636, 2, 18, 654
