req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 2, 0, 1, 3
3, 0, 2, 0, 1, 3
4, 0, 3, 0, 1, 4
5, 0, 0, 1, 1, 1
6, 0, 0, 2, 1, 1
7, 0, 4, 0, 2, 6
8, 0, 1, 1, 1, 2
9, 0, 1, 2, 2, 3
10, 0, 2, 1, 1, 3
11, 0, 3, 1, 2, 5
12, 0, 3, 2, 1, 4
13, 0, 4, 2, 1, 5
14, 0, 3, 2, 1, 4
15, 0, 6, 0, 18, 24
16, 0, 3, 2, 1, 4
17, 0, 5, 1, 143, 148
18, 0, 5, 2, 136, 141
19, 0, 24, 0, 137, 161
20, 0, 141, 2, 143, 284
21, 0, 161, 0, 137, 298
22, 0, 284, 2, 143, 427
23, 0, 427, 2, 143, 570
24, 0, 148, 1, 143, 291
25, 0, 3, 2, 1, 4
26, 0, 291, 1, 1, 292
27, 0, 292, 1, 16, 308
28, 0, 148, 1, 2, 150
29, 1, 308, 1, 1, 309
