req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 1, 1, 1
2, 0, 0, 2, 1, 1
3, 0, 1, 0, 1, 2
4, 0, 1, 1, 1, 2
5, 0, 1, 2, 1, 2
6, 0, 2, 0, 1, 3
7, 0, 2, 1, 2, 4
8, 0, 1, 2, 1, 2
9, 0, 2, 2, 2, 4
10, 0, 3, 0, 1, 4
11, 0, 4, 0, 2, 6
12, 0, 1, 2, 1, 2
13, 0, 4, 1, 1, 5
14, 0, 4, 2, 1, 5
15, 0, 5, 1, 18, 23
16, 0, 1, 2, 1, 2
17, 0, 5, 2, 143, 148
18, 0, 6, 0, 136, 142
19, 0, 23, 1, 137, 160
20, 0, 142, 0, 143, 285
21, 0, 148, 2, 137, 285
22, 0, 160, 1, 143, 303
23, 0, 285, 0, 143, 428
24, 0, 285, 2, 143, 428
25, 0, 303, 1, 1, 304
26, 0, 1, 2, 1, 2
27, 0, 1, 2, 16, 17
28, 0, 304, 1, 2, 306
29, 1, 306, 1, 1, 307
30, 1, 1, 2, 1, 2
31, 1, 1, 2, 1, 2
32, 1, 307, 1, 1, 308
33, 1, 308, 1, 1, 309
34, 1, 309, 1, 1, 310
35, 1, 310, 1, 26, 336
36, 1, 336, 1, 142, 478
37, 1, 428, 0, 84, 512
38, 1, 428, 2, 1, 429
39, 1, 1, 2, 1, 2
40, 1, 1, 2, 142, 143
41, 2, 2, 1, 14, 16
42, 2, 2, 1, 19, 21
43, 2, 2, 1, 13, 15
44, 2, 429, 2, 16, 445
45, 2, 445, 2, 11, 456
46, 2, 456, 2, 18, 474
47, 2, 474, 2, 14, 488
48, 2, 2, 1, 12, 14
49, 2, 478, 1, 11, 489
50, 2, 2, 1, 15, 17
51, 2, 488, 2, 13, 501
52, 2, 489, 1, 17, 506
53, 2, 501, 2, 13, 514
54, 2, 506, 1, 14, 520
55, 2, 2, 1, 14, 16
56, 2, 512, 0, 18, 530
57, 2, 514, 2, 12, 526
58, 2, 2, 1, 12, 14
59, 2, 520, 1, 17, 537
60, 2, 526, 2, 19, 545
61, 2, 530, 0, 13, 543
62, 2, 537, 1, 19, 556
63, 2, 543, 0, 10, 553
64, 2, 2, 1, 17, 19
65, 2, 545, 2, 19, 564
