req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 0, 1, 1
2, 0, 0, 0, 1, 1
3, 0, 1, 0, 1, 2
4, 0, 2, 0, 1, 3
5, 0, 0, 1, 1, 1
6, 0, 0, 2, 1, 1
7, 0, 3, 0, 2, 5
8, 0, 1, 1, 1, 2
9, 0, 2, 1, 2, 4
10, 0, 1, 2, 1, 2
11, 0, 2, 2, 2, 4
12, 0, 4, 2, 1, 5
13, 0, 4, 1, 1, 5
14, 0, 4, 2, 1, 5
15, 0, 5, 0, 18, 23
16, 0, 5, 1, 1, 6
17, 0, 1, 1, 143, 144
18, 0, 5, 2, 136, 141
19, 0, 23, 0, 137, 160
20, 0, 141, 2, 143, 284
21, 0, 144, 1, 137, 281
22, 0, 281, 1, 143, 424
