req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 1, 1, 1
2, 0, 1, 1, 1, 2
3, 0, 1, 0, 1, 2
4, 0, 2, 0, 1, 3
5, 0, 2, 1, 1, 3
6, 0, 3, 0, 1, 4
7, 0, 3, 1, 2, 5
8, 0, 4, 0, 1, 5
9, 0, 5, 0, 2, 7
10, 0, 0, 1, 1, 1
11, 0, 0, 1, 2, 2
12, 0, 5, 0, 1, 6
13, 0, 6, 0, 1, 7
14, 0, 7, 0, 1, 8
15, 0, 8, 0, 18, 26
16, 0, 0, 2, 1, 1
17, 0, 26, 0, 143, 169
18, 0, 5, 1, 136, 141
19, 0, 1, 2, 137, 138
20, 0, 138, 2, 143, 281
21, 0, 169, 0, 137, 306
22, 0, 141, 1, 143, 284
23, 0, 281, 2, 143, 424
24, 0, 284, 1, 143, 427
25, 0, 8, 0, 1, 9
26, 0, 1, 1, 1, 2
27, 0, 0, 1, 16, 16
28, 0, 0, 1, 2, 2
29, 1, 1, 1, 1, 2
30, 1, 427, 1, 1, 428
31, 1, 424, 2, 1, 425
32, 1, 428, 1, 1, 429
33, 1, 429, 1, 1, 430
34, 1, 430, 1, 1, 431
35, 1, 431, 1, 26, 457
36, 1, 457, 1, 142, 599
37, 1, 599, 1, 84, 683
38, 1, 1, 1, 1, 2
39, 1, 683, 1, 1, 684
40, 1, 8, 0, 142, 150
41, 2, 684, 1, 14, 698
42, 2, 698, 1, 19, 717
43, 2, 717, 1, 13, 730
44, 2, 730, 1, 16, 746
45, 2, 746, 1, 11, 757
46, 2, 757, 1, 18, 775
47, 2, 775, 1, 14, 789
48, 2, 789, 1, 12, 801
