req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 1, 1, 1
2, 0, 0, 2, 1, 1
3, 0, 1, 0, 1, 2
4, 0, 1, 1, 1, 2
5, 0, 1, 2, 1, 2
6, 0, 2, 0, 1, 3
7, 0, 2, 1, 2, 4
8, 0, 2, 2, 1, 3
9, 0, 0, 0, 2, 2
10, 0, 3, 0, 1, 4
11, 0, 3, 2, 2, 5
12, 0, 4, 0, 1, 5
13, 0, 4, 1, 1, 5
14, 0, 5, 0, 1, 6
15, 0, 5, 1, 18, 23
16, 0, 5, 2, 1, 6
17, 0, 0, 0, 143, 143
18, 0, 6, 2, 136, 142
19, 0, 23, 1, 137, 160
20, 0, 142, 2, 143, 285
21, 0, 0, 0, 137, 137
22, 0, 143, 0, 143, 286
23, 0, 160, 1, 143, 303
24, 0, 285, 2, 143, 428
25, 0, 286, 0, 1, 287
26, 0, 287, 0, 1, 288
27, 0, 0, 0, 16, 16
28, 0, 288, 0, 2, 290
29, 1, 290, 0, 1, 291
30, 1, 1, 1, 1, 2
31, 1, 291, 0, 1, 292
32, 1, 292, 0, 1, 293
33, 1, 1, 1, 1, 2
34, 1, 293, 0, 1, 294
35, 1, 294, 0, 26, 320
36, 1, 303, 1, 142, 445
37, 1, 320, 0, 84, 404
38, 1, 404, 0, 1, 405
39, 1, 405, 0, 1, 406
40, 1, 1, 1, 142, 143
41, 2, 2, 0, 14, 16
42, 2, 2, 0, 19, 21
43, 2, 406, 0, 13, 419
44, 2, 2, 0, 16, 18
45, 2, 419, 0, 11, 430
46, 2, 428, 2, 18, 446
47, 2, 430, 0, 14, 444
48, 2, 444, 0, 12, 456
49, 2, 445, 1, 11, 456
50, 2, 446, 2, 15, 461
51, 2, 456, 0, 13, 469
52, 2, 2, 0, 17, 19
53, 2, 456, 1, 13, 469
54, 2, 2, 0, 14, 16
55, 2, 461, 2, 14, 475
56, 2, 2, 0, 18, 20
57, 2, 469, 0, 12, 481
58, 2, 469, 1, 12, 481
59, 2, 475, 2, 17, 492
60, 2, 2, 0, 19, 21
61, 2, 481, 0, 13, 494
62, 2, 481, 1, 19, 500
63, 2, 492, 2, 10, 502
64, 2, 494, 0, 17, 511
65, 2, 500, 1, 19, 519
