req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 0, 1, 1, 1
3, 0, 0, 0, 1, 1
4, 0, 1, 1, 1, 2
5, 0, 0, 0, 1, 1
6, 0, 2, 1, 1, 3
7, 0, 3, 1, 2, 5
8, 0, 2, 0, 1, 3
9, 0, 0, 0, 2, 2
10, 0, 3, 0, 1, 4
11, 0, 0, 0, 2, 2
12, 0, 5, 1, 1, 6
13, 0, 4, 0, 1, 5
14, 0, 0, 0, 1, 1
15, 0, 0, 0, 18, 18
16, 0, 6, 1, 1, 7
17, 0, 0, 0, 143, 143
18, 0, 7, 1, 136, 143
19, 0, 0, 2, 137, 137
20, 0, 143, 0, 143, 286
21, 0, 137, 2, 137, 274
22, 0, 143, 1, 143, 286
23, 0, 286, 1, 143, 429
24, 0, 274, 2, 143, 417
25, 0, 286, 0, 1, 287
26, 0, 287, 0, 1, 288
27, 0, 288, 0, 16, 304
28, 0, 304, 0, 2, 306
29, 1, 306, 0, 1, 307
30, 1, 307, 0, 1, 308
31, 1, 308, 0, 1, 309
32, 1, 309, 0, 1, 310
33, 1, 310, 0, 1, 311
34, 1, 311, 0, 1, 312
35, 1, 312, 0, 26, 338
36, 1, 1, 2, 142, 143
37, 1, 338, 0, 84, 422
38, 1, 417, 2, 1, 418
39, 1, 418, 2, 1, 419
40, 1, 1, 2, 142, 143
41, 2, 2, 1, 14, 16
42, 2, 419, 2, 19, 438
43, 2, 2, 1, 13, 15
44, 2, 422, 0, 16, 438
45, 2, 438, 0, 11, 449
46, 2, 449, 0, 18, 467
47, 2, 2, 1, 14, 16
48, 2, 2, 1, 12, 14
49, 2, 429, 1, 11, 440
50, 2, 438, 2, 15, 453
51, 2, 440, 1, 13, 453
52, 2, 2, 2, 17, 19
53, 2, 453, 2, 13, 466
54, 2, 466, 2, 14, 480
55, 2, 467, 0, 14, 481
56, 2, 481, 0, 18, 499
57, 2, 2, 2, 12, 14
58, 2, 2, 2, 12, 14
59, 2, 453, 1, 17, 470
60, 2, 2, 2, 19, 21
61, 2, 480, 2, 13, 493
62, 2, 470, 1, 19, 489
63, 2, 499, 0, 10, 509
64, 2, 509, 0, 17, 526
65, 2, 493, 2, 19, 512
66, 2, 489, 1, 13, 502
67, 2, 512, 2, 12, 524
68, 2, 526, 0, 16, 542
69, 2, 2, 1, 17, 19
70, 2, 502, 1, 15, 517
71, 2, 2, 1, 16, 18
72, 2, 524, 2, 12, 536
73, 2, 2, 1, 141, 143
74, 2, 2, 2, 19, 21
75, 2, 542, 0, 15, 557
76, 2, 536, 2, 25, 561
77, 2, 517, 1, 25, 542
78, 2, 2, 1, 17, 19
79, 2, 557, 0, 122, 679
80, 2, 561, 2, 141, 702
81, 2, 542, 1, 19, 561
82, 2, 2, 2, 4, 6
