req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 2
2, 0, 2, 0, 1, 3
3, 0, 0, 1, 1, 1
4, 0, 1, 1, 1, 2
5, 0, 0, 2, 1, 1
6, 0, 1, 2, 1, 2
7, 0, 3, 0, 2, 5
8, 0, 1, 0, 1, 2
9, 0, 2, 1, 2, 4
10, 0, 2, 2, 1, 3
11, 0, 3, 2, 2, 5
12, 0, 5, 0, 1, 6
13, 0, 4, 1, 1, 5
14, 0, 5, 1, 1, 6
15, 0, 2, 2, 18, 20
16, 0, 5, 2, 1, 6
17, 0, 6, 2, 143, 149
18, 0, 6, 0, 136, 142
19, 0, 6, 1, 137, 143
20, 0, 142, 0, 143, 285
21, 0, 143, 1, 137, 280
22, 0, 2, 2, 143, 145
23, 0, 149, 2, 143, 292
24, 0, 1, 0, 143, 144
25, 0, 285, 0, 1, 286
26, 0, 286, 0, 1, 287
27, 0, 292, 2, 16, 308
28, 0, 308, 2, 2, 310
29, 1, 310, 2, 1, 311
30, 1, 311, 2, 1, 312
31, 1, 312, 2, 1, 313
32, 1, 313, 2, 1, 314
33, 1, 314, 2, 1, 315
34, 1, 315, 2, 1, 316
35, 1, 311, 2, 26, 337
36, 1, 337, 2, 142, 479
37, 1, 280, 1, 84, 364
38, 1, 364, 1, 1, 365
39, 1, 365, 1, 1, 366
40, 1, 1, 1, 142, 143
41, 2, 2, 2, 14, 16
42, 2, 366, 1, 19, 385
43, 2, 385, 1, 13, 398
44, 2, 398, 1, 16, 414
45, 2, 414, 1, 11, 425
46, 2, 425, 1, 18, 443
47, 2, 443, 1, 14, 457
48, 2, 287, 0, 12, 299
49, 2, 299, 0, 11, 310
50, 2, 310, 0, 15, 325
51, 2, 325, 0, 13, 338
52, 2, 338, 0, 17, 355
53, 2, 355, 0, 13, 368
54, 2, 368, 0, 14, 382
55, 2, 382, 0, 14, 396
56, 2, 396, 0, 18, 414
57, 2, 311, 2, 12, 323
58, 2, 414, 0, 12, 426
59, 2, 426, 0, 17, 443
60, 2, 311, 2, 19, 330
61, 2, 443, 0, 13, 456
62, 2, 479, 2, 19, 498
